afrc_name,decision_status,decision_college_id,decision_college_name,public_action,decision_note
"Patel College of Science Technology Patel Group of Institutions",user_resolved_historical_exclude,h88,"Patel College of Science & Technology, Bhopal",do_not_publish_current_fee,"User confirmed h88 is the correct historical match; do not map this Bhopal row to current Indore college 339."
"Oriental Institute of Science Technology, Jabalpur",user_resolved_historical_exclude,h29,"Oriental Institute of Science & Technology, Jabalpur",do_not_publish_current_fee,"User confirmed h29 is the correct historical match."
"Vindhya Institute of Technology Science, Indore",user_resolved_historical_exclude,h53,"Vindhya Institute of Technology & Science, Indore",do_not_publish_current_fee,"User confirmed h53 is the correct historical match; do not map this Indore row to current Satna college 609."
"IES Institute of Technology and Management",user_resolved_historical_exclude,h17,"IES Institute of Technology & Management, Bhopal",do_not_publish_current_fee,"User confirmed h17 is the correct historical match; do not map this Bhopal row to ITM Gwalior 162."
"Jawaharlal Institute of Technology, Borawan M.C.A.",user_accepted_current_existing,183,"Jawaharlal Institute of Technology, Borawan, Khargone",accepted_current_reviewed,"User confirmed current college 183 is the correct identity for this AFRC row. College 183 already has accepted AFRC fee rows, so this adjudication is retained as review evidence."
"SAM COLLEGE OF ENGINEERING AND TECHNOLOGY, BHOPAL",user_resolved_historical_exclude,h38,"SAM College of Engineering & Technology, Bhopal (2007)-F.W.",do_not_publish_current_fee,"User confirmed h38 is the correct historical match."
"Sagar Institute of Research, Technology Science",user_resolved_historical_exclude,h36,"Sagar Institute of Research Technology & Science, Bhopal",do_not_publish_current_fee,"User confirmed h36 is the correct historical match."
"ITM Group of Institutions (Institute of Information Technology. & Management) (Technical Campus) Gwalior",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected both h15 and current alternative 570. Actual ITM Universe Gwalior row is already accepted separately for college 162."
"ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH,Bhopal",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected this Bhopal doubtful row; use the accepted Acropolis Institute of Technology Research, Indore row for current college 003 instead."
"Lakshmi Narain College of Technology And Science, Gwalior",user_resolved_historical_exclude,h20,"Lakshmi Narain College of Technology, Gwalior",do_not_publish_current_fee,"User confirmed h20 is the correct historical match."
"Priyatam Institute Of Technology & Science, Indore",user_rejected_no_match,,,"do_not_publish_current_fee","User said no correct option; do not use."
"Royal College of Technology",user_rejected_no_match,,,"do_not_publish_current_fee","User said no correct option; do not use."
"Millennium College of Technology, Bhopal",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected IES College of Technology, Bhopal match; do not use."
"BALAJI INSTITUTE OF TECHNOLOGY",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected Shri Balaji Institute of Technology & Management, Betul match; city conflict."
"Crescent College of Technology",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected Oriental College of Technology, Bhopal match; do not use."
"Jagadguru Dattatry College of Technology",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected Jai Narain College of Technology, Bhopal match; do not use."
"Jai Narain College of Technology Science",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected Lakshmi Narain/Jai Narain alternatives; different college, do not use."
"RADHARAMAN INSTITUTE OF RESEARCH AND TECHNOLOGY,BHOPAL",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected Sagar Institute of Research & Technology, Bhopal match; do not use."
"Sant Singaji Engineering College, Dewas",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected Rewa Engineering College match; do not use."
"Shri Vaishnav Institute of Technology Science",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected SGSITS match; do not use."
"Star Academy of Technology Management",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected IPS College of Technology & Management, Gwalior match; do not use."
"Vindhya Institute of Technology Science",user_rejected_no_match,,,"do_not_publish_current_fee","User rejected current Satna match for AFRC Jabalpur row; do not use."
"Hindustan Inst. of Tech. Sc. Mgmt.",user_resolved_historical_exclude,h78,"Hindustan Institute of Technology Science and Management, Gwalior",do_not_publish_current_fee,"User confirmed h78 is the correct historical match."
"Sardar Patel Inst. of Tech. Mgmt.",user_rejected_no_match,,,"do_not_publish_current_fee","User said Mandleshwar and Balaghat are different; do not use."
"Shri Krishna Inst. of Tech. Mgmt.",user_resolved_historical_exclude,h73,"Shri Krishna Institute of Technology & Management, Gwalior",do_not_publish_current_fee,"User confirmed h73 is the correct historical match."
"Sagar Institute of Research Technology, Indore SIRTIndore.",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
"Shri Rawatpura Sarkar Institute of Technology",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
"Sanghvi Innovative Academy",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
"Satyam Edu. & Social Welfare Society Group of Instt.",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
"New-Tech Institute of Engineering and Technology, Dewas",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
"School Of Engineering & Technology",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
"School Research TechnologyPeoples Univ",user_discarded_no_force_match,,,"do_not_publish_current_fee","User instructed no force match; retain as AFRC audit evidence only and do not attach to a current college."
